"name","main_category","ratings","discount_price","actual_price"
U.S. POLO ASSN. Men's Regular Fit Button Down Shirt,men's clothing,4.4,2994.0,2999.0
Nike Mens Court Legacy CNVS Mid Running Shoe,men's shoes,4.4,4990.0,4995.0
Nike Tanjun-Black/White-Barely VOLT-BLACK-DJ6258-003-10UK,men's shoes,4.4,4990.0,4995.0
Skechers Mens Bounder-high Degree Casual Shoe,men's shoes,4.4,4990.0,4999.0
Skechers Men Bounder Shoes,men's shoes,4.4,5450.0,5499.0
Hidesign Women Sling Bag (Brown),accessories,4.4,5794.0,5795.0
Nike Mens Court Vision Mid Sneaker,men's shoes,4.4,5990.0,5995.0
Nike Mens Court Vision Mid Nn Sneaker,men's shoes,4.4,5990.0,5995.0
Skechers Mens Arch Fit Sneaker,men's shoes,4.4,6490.0,6499.0
Skechers Women Go Ride 7 Running Shoes,men's shoes,4.4,6490.0,6499.0
Skechers mens Sneakers,men's shoes,4.4,7990.0,7999.0
Nike Women's Air Max Excee Running Shoe,men's shoes,4.4,8190.0,8195.0
Titan Analog Pink Dial Women's Watch-NL95058WM02/NP95058WM02,accessories,4.4,8494.0,8495.0
"Nike Men's Running Shoe, Black Black Iron Grey White, Womens 10",men's shoes,4.4,10990.0,10995.0
Nivia 5129BK Polyester Ultra Shoe Bag (Black),accessories,4.3,248.0,249.0
Jockey Men's Cotton Brief,men's clothing,4.3,309.0,310.0
Axter Women White Sports Running Shoe,men's shoes,4.3,333.0,334.0
Wildcraft Polyester Unisex Purse(blue),accessories,4.3,344.0,345.0
Jockey Men's Brief,men's clothing,4.3,398.0,399.0
NYKD Women T-Shirt Bra,women's clothing,4.3,398.0,399.0
"Van Heusen Men Vest - Cotton Rich - All Day Comfort, Graphic Print, Super Soft",men's clothing,4.3,445.0,449.0
Yogasya YG-NB-C02 Unisex Cotton Back and Neck Pillow - Magenta,accessories,4.3,497.0,499.0
Van Heusen Women Stay Dry Period Panty,women's clothing,4.3,578.0,579.0
Jockey 8817 Men's Super Combed Cotton Round Neck Half Sleeved Vest with Extended Length for Easy Tuck (Pack of 2),men's clothing,4.3,596.0,598.0
"Jockey Men's Plain Regular fit Vest (Navy Print, Medium)",men's clothing,4.3,598.0,599.0
Levi's Men's Regular Solid Brief (PR78696_Multicolor_M),men's clothing,4.3,625.0,628.0
VIP Bonus Men's Cotton Sleeveless Regular Fit Vest Innerwear Combo Pack of 4,men's clothing,4.3,675.0,676.0
"Van Heusen Men Breathable Air Active Trunks - Polyamide Elastane - Swift Dry, High Stretch Mesh",men's clothing,4.3,688.0,689.0
Pepe Mens Checked Briefs,men's clothing,4.3,698.0,699.0
VIP Signor Men's Brief Pack of 5 (Size-80cm) White,men's clothing,4.3,740.0,745.0
Jockey Women T-Shirt,women's clothing,4.3,745.0,749.0
Ruggers by Unlimited Men Shirt,men's clothing,4.3,896.0,899.0
Jockey Men's Cotton Briefs (Pack of 4) (8901326057261_Color May Vary_X-Large)<br>,men's clothing,4.3,895.0,900.0
"Jockey Men's Cotton Elance Vest Without Sleeve (White, 100 - 105cm)",men's clothing,4.3,988.0,996.0
